HMM_ID	Gene	Pathway	Type
3J1Nt	AGT	5(hm)Y	Accessory
8DEVp	AGT	5(hm)Y	Accessory
8nQgY	AGT	5(hm)Y	Accessory
7JnP7	ArcS2	7-dG	Marker
XFys	ArcS2	7-dG	Marker
16UKd	BGT	5(hm)Y	Accessory
2qSRx	BGT	5(hm)Y	Accessory
2zujz	BGT	5(hm)Y	Accessory
3dPiS	BGT	5(hm)Y	Accessory
3mNmE	BGT	5(hm)Y	Accessory
4G9Ep	BGT	5(hm)Y	Accessory
4sO41	BGT	5(hm)Y	Accessory
4WM7A	BGT	5(hm)Y	Accessory
5nica	BGT	5(hm)Y	Accessory
5Z08N	BGT	5(hm)Y	Accessory
7Vk6j	BGT	5(hm)Y	Accessory
6GEp1	dAMP_deaminase	dI	Marker
7YXGB	dAMP_deaminase	dI	Marker
5l9FU	DatZ	dZ	Accessory
6LdCy	DatZ	dZ	Accessory
7Kmmi	DatZ	dZ	Accessory
1jpkj	DatZ	dZ	Accessory
1l13H	DatZ	dZ	Accessory
3F2Kg	DatZ	dZ	Accessory
3Xo3	DatZ	dZ	Accessory
4BuAH	DatZ	dZ	Accessory
4En80	DatZ	dZ	Accessory
5l9FU	DatZ	dZ	Accessory
6LdCy	DatZ	dZ	Accessory
7Kmmi	DatZ	dZ	Accessory
8gxe	DatZ	dZ	Accessory
95v7	DatZ	dZ	Accessory
zx5B	DatZ	dZ	Accessory
1ckZL	DCTD	dU	Accessory
1CYf9	DCTD	dU	Accessory
1eUVP	DCTD	dU	Accessory
1iTTr	DCTD	dU	Accessory
1luXn	DCTD	dU	Accessory
2Gtpt	DCTD	dU	Accessory
2HjXC	DCTD	dU	Accessory
2Xpbh	DCTD	dU	Accessory
3n6MU	DCTD	dU	Accessory
3PxGW	DCTD	dU	Accessory
4DCNK	DCTD	dU	Accessory
4hzCa	DCTD	dU	Accessory
4i1F4	DCTD	dU	Accessory
4jEsT	DCTD	dU	Accessory
4qHDh	DCTD	dU	Accessory
4XA3W	DCTD	dU	Accessory
6FyVd	DCTD	dU	Accessory
750ax	DCTD	dU	Accessory
7aLv	DCTD	dU	Accessory
7Qqas	DCTD	dU	Accessory
7snMN	DCTD	dU	Accessory
81Ypa	DCTD	dU	Accessory
8AZzs	DCTD	dU	Accessory
8e0i	DCTD	dU	Accessory
8hPMZ	DCTD	dU	Accessory
8zNzx	DCTD	dU	Accessory
f0lM	DCTD	dU	Accessory
fk4L	DCTD	dU	Accessory
14MyB	DCTD	dU	Accessory
14YDV	DCTD	dU	Accessory
1cCoU	DCTD	dU	Accessory
1CrlL	DCTD	dU	Accessory
1CYf9	DCTD	dU	Accessory
1dJYf	DCTD	dU	Accessory
1dqG4	DCTD	dU	Accessory
1hPqb	DCTD	dU	Accessory
1in4M	DCTD	dU	Accessory
1iTTr	DCTD	dU	Accessory
1j4wg	DCTD	dU	Accessory
1LGeC	DCTD	dU	Accessory
1luXn	DCTD	dU	Accessory
1NDMK	DCTD	dU	Accessory
1phhx	DCTD	dU	Accessory
1QRBa	DCTD	dU	Accessory
1XsYt	DCTD	dU	Accessory
21AX5	DCTD	dU	Accessory
23grV	DCTD	dU	Accessory
25eJf	DCTD	dU	Accessory
2D1TL	DCTD	dU	Accessory
2Gtpt	DCTD	dU	Accessory
2HjXC	DCTD	dU	Accessory
2sJou	DCTD	dU	Accessory
2TKfi	DCTD	dU	Accessory
2Xpbh	DCTD	dU	Accessory
34DOT	DCTD	dU	Accessory
3cyim	DCTD	dU	Accessory
3hM5k	DCTD	dU	Accessory
3n6MU	DCTD	dU	Accessory
3nlt2	DCTD	dU	Accessory
3NZMS	DCTD	dU	Accessory
3P9V4	DCTD	dU	Accessory
3PxGW	DCTD	dU	Accessory
3QQrU	DCTD	dU	Accessory
3R0SC	DCTD	dU	Accessory
4aBH	DCTD	dU	Accessory
4DCNK	DCTD	dU	Accessory
4eOk0	DCTD	dU	Accessory
4gMha	DCTD	dU	Accessory
4gMRB	DCTD	dU	Accessory
4gtCZ	DCTD	dU	Accessory
4hzCa	DCTD	dU	Accessory
4i1F4	DCTD	dU	Accessory
4iQMY	DCTD	dU	Accessory
4jEsT	DCTD	dU	Accessory
4mtzO	DCTD	dU	Accessory
4NQq6	DCTD	dU	Accessory
4Saa9	DCTD	dU	Accessory
4Ue1E	DCTD	dU	Accessory
